shape,M,impl,ms,spread%,GB/s,%peak,vs fp16,%ceiling
4096x4096,1,torch fp16 (cuBLAS),0.0309,1.0,1087.1,78.9,1.00x,
4096x4096,1,dequant + cuBLAS,0.0676,17.2,128.2,9.3,0.46x,11.8
4096x4096,1,triton w4a16,0.0763,27.3,113.6,8.2,0.40x,10.5
4096x4096,1,nibblegemm v0 naive,0.5197,9.3,16.7,1.2,0.06x,1.5
4096x4096,1,nibblegemm v1 coalesced,0.2936,3.2,29.5,2.1,0.11x,2.7
4096x4096,1,nibblegemm v2 fast-dequant,0.0672,1.0,129.0,9.4,0.46x,11.9
4096x4096,1,nibblegemm v3 vec4+regblock,0.1197,2.0,72.4,5.3,0.26x,6.7
4096x4096,1,nibblegemm v4 split-K,0.0146,3.7,595.3,43.2,2.12x,54.8
4096x4096,2,torch fp16 (cuBLAS),0.0318,2.3,1056.5,76.6,1.00x,
4096x4096,2,dequant + cuBLAS,0.0668,12.1,130.0,9.4,0.48x,12.3
4096x4096,2,triton w4a16,0.0752,21.1,115.5,8.4,0.42x,10.9
4096x4096,2,nibblegemm v0 naive,0.5213,10.0,16.7,1.2,0.06x,1.6
4096x4096,2,nibblegemm v1 coalesced,0.283,2.9,30.7,2.2,0.11x,2.9
4096x4096,2,nibblegemm v2 fast-dequant,0.0644,0.8,134.9,9.8,0.49x,12.7
4096x4096,2,nibblegemm v3 vec4+regblock,0.2225,2.6,39.0,2.8,0.14x,3.7
4096x4096,2,nibblegemm v4 split-K,0.0171,1.7,507.2,36.8,1.86x,47.9
4096x4096,4,torch fp16 (cuBLAS),0.0318,2.1,1057.0,76.7,1.00x,
4096x4096,4,dequant + cuBLAS,0.0668,15.3,130.5,9.5,0.48x,12.3
4096x4096,4,triton w4a16,0.0761,31.0,114.5,8.3,0.42x,10.8
4096x4096,4,nibblegemm v0 naive,0.5044,7.7,17.3,1.3,0.06x,1.6
4096x4096,4,nibblegemm v1 coalesced,0.2732,2.7,31.9,2.3,0.12x,3.0
4096x4096,4,nibblegemm v2 fast-dequant,0.0644,0.5,135.4,9.8,0.49x,12.8
4096x4096,4,nibblegemm v3 vec4+regblock,0.136,0.6,64.1,4.6,0.23x,6.0
4096x4096,4,nibblegemm v4 split-K,0.0162,2.4,537.2,39.0,1.96x,50.6
4096x4096,8,torch fp16 (cuBLAS),0.0319,2.2,1054.8,76.5,1.00x,
4096x4096,8,dequant + cuBLAS,0.0668,13.2,131.4,9.5,0.48x,12.3
4096x4096,8,triton w4a16,0.0747,21.3,117.6,8.5,0.43x,11.0
4096x4096,8,nibblegemm v0 naive,0.6543,1.1,13.4,1.0,0.05x,1.3
4096x4096,8,nibblegemm v1 coalesced,0.2573,1.5,34.1,2.5,0.12x,3.2
4096x4096,8,nibblegemm v2 fast-dequant,0.0638,0.4,137.6,10.0,0.50x,12.9
4096x4096,8,nibblegemm v3 vec4+regblock,0.2373,0.3,37.0,2.7,0.13x,3.5
4096x4096,8,nibblegemm v4 split-K,0.021,1.8,419.0,30.4,1.52x,39.3
4096x14336,1,torch fp16 (cuBLAS),0.0971,1.1,1209.4,87.7,1.00x,
4096x14336,1,dequant + cuBLAS,0.2249,2.4,134.8,9.8,0.43x,11.1
4096x14336,1,triton w4a16,0.1374,6.7,220.6,16.0,0.71x,18.2
4096x14336,1,nibblegemm v0 naive,0.5341,1.9,56.8,4.1,0.18x,4.7
4096x14336,1,nibblegemm v1 coalesced,0.2971,0.3,102.0,7.4,0.33x,8.4
4096x14336,1,nibblegemm v2 fast-dequant,0.0727,1.4,417.0,30.3,1.34x,34.5
4096x14336,1,nibblegemm v3 vec4+regblock,0.1321,0.5,229.4,16.6,0.74x,19.0
4096x14336,1,nibblegemm v4 split-K,0.0312,1.7,970.1,70.4,3.11x,80.2
4096x14336,2,torch fp16 (cuBLAS),0.0939,1.0,1251.0,90.7,1.00x,
4096x14336,2,dequant + cuBLAS,0.2202,2.6,137.9,10.0,0.43x,11.0
4096x14336,2,triton w4a16,0.144,16.7,210.7,15.3,0.65x,16.8
4096x14336,2,nibblegemm v0 naive,0.6697,1.2,45.3,3.3,0.14x,3.6
4096x14336,2,nibblegemm v1 coalesced,0.2889,0.3,105.1,7.6,0.33x,8.4
4096x14336,2,nibblegemm v2 fast-dequant,0.0732,1.1,414.5,30.1,1.28x,33.1
4096x14336,2,nibblegemm v3 vec4+regblock,0.2337,0.3,129.9,9.4,0.40x,10.4
4096x14336,2,nibblegemm v4 split-K,0.0359,1.0,845.7,61.3,2.62x,67.5
4096x14336,4,torch fp16 (cuBLAS),0.0941,1.4,1249.2,90.6,1.00x,
4096x14336,4,dequant + cuBLAS,0.2205,2.7,138.0,10.0,0.43x,11.0
4096x14336,4,triton w4a16,0.1445,16.7,210.5,15.3,0.65x,16.8
4096x14336,4,nibblegemm v0 naive,0.9628,1.1,31.6,2.3,0.10x,2.5
4096x14336,4,nibblegemm v1 coalesced,0.306,0.9,99.4,7.2,0.31x,7.9
4096x14336,4,nibblegemm v2 fast-dequant,0.0759,0.9,401.0,29.1,1.24x,32.0
4096x14336,4,nibblegemm v3 vec4+regblock,0.148,0.6,205.5,14.9,0.64x,16.4
4096x14336,4,nibblegemm v4 split-K,0.0362,2.6,841.4,61.0,2.60x,67.2
4096x14336,8,torch fp16 (cuBLAS),0.0944,1.1,1246.6,90.4,1.00x,
4096x14336,8,dequant + cuBLAS,0.2209,2.0,138.4,10.0,0.43x,11.0
4096x14336,8,triton w4a16,0.1425,16.4,214.5,15.6,0.66x,17.1
4096x14336,8,nibblegemm v0 naive,1.5365,0.9,19.9,1.4,0.06x,1.6
4096x14336,8,nibblegemm v1 coalesced,0.4439,0.2,68.9,5.0,0.21x,5.5
4096x14336,8,nibblegemm v2 fast-dequant,0.1031,0.4,296.6,21.5,0.92x,23.6
4096x14336,8,nibblegemm v3 vec4+regblock,0.2462,0.4,124.2,9.0,0.38x,9.9
4096x14336,8,nibblegemm v4 split-K,0.0514,0.8,594.9,43.2,1.84x,47.4
14336x4096,1,torch fp16 (cuBLAS),0.0959,1.6,1225.2,88.9,1.00x,
14336x4096,1,dequant + cuBLAS,0.2221,2.1,136.5,9.9,0.43x,11.1
14336x4096,1,triton w4a16,0.2012,7.6,150.7,10.9,0.48x,12.3
14336x4096,1,nibblegemm v0 naive,1.7709,2.5,17.1,1.2,0.05x,1.4
14336x4096,1,nibblegemm v1 coalesced,1.0291,0.4,29.5,2.1,0.09x,2.4
14336x4096,1,nibblegemm v2 fast-dequant,0.225,0.3,134.7,9.8,0.43x,11.0
14336x4096,1,nibblegemm v3 vec4+regblock,0.4188,0.2,72.4,5.3,0.23x,5.9
14336x4096,1,nibblegemm v4 split-K,0.0324,1.7,935.6,67.9,2.96x,76.4
14336x4096,2,torch fp16 (cuBLAS),0.0951,1.7,1236.3,89.7,1.00x,
14336x4096,2,dequant + cuBLAS,0.2213,2.1,137.1,9.9,0.43x,11.1
14336x4096,2,triton w4a16,0.1948,3.6,155.8,11.3,0.49x,12.6
14336x4096,2,nibblegemm v0 naive,1.7441,1.3,17.4,1.3,0.05x,1.4
14336x4096,2,nibblegemm v1 coalesced,0.9946,0.4,30.5,2.2,0.10x,2.5
14336x4096,2,nibblegemm v2 fast-dequant,0.2188,0.5,138.7,10.1,0.43x,11.2
14336x4096,2,nibblegemm v3 vec4+regblock,0.7747,0.4,39.2,2.8,0.12x,3.2
14336x4096,2,nibblegemm v4 split-K,0.0368,1.7,824.8,59.8,2.58x,66.7
14336x4096,4,torch fp16 (cuBLAS),0.0951,0.8,1237.0,89.7,1.00x,
14336x4096,4,dequant + cuBLAS,0.2221,1.6,137.0,9.9,0.43x,11.0
14336x4096,4,triton w4a16,0.1962,4.3,155.1,11.2,0.48x,12.5
14336x4096,4,nibblegemm v0 naive,1.7121,1.8,17.8,1.3,0.06x,1.4
14336x4096,4,nibblegemm v1 coalesced,0.9554,0.5,31.8,2.3,0.10x,2.6
14336x4096,4,nibblegemm v2 fast-dequant,0.2179,0.5,139.6,10.1,0.44x,11.3
14336x4096,4,nibblegemm v3 vec4+regblock,0.4785,0.3,63.6,4.6,0.20x,5.1
14336x4096,4,nibblegemm v4 split-K,0.0375,1.5,810.6,58.8,2.53x,65.3
14336x4096,8,torch fp16 (cuBLAS),0.0954,0.5,1233.6,89.5,1.00x,
14336x4096,8,dequant + cuBLAS,0.2218,2.4,137.8,10.0,0.43x,11.1
14336x4096,8,triton w4a16,0.1946,2.8,157.1,11.4,0.49x,12.7
14336x4096,8,nibblegemm v0 naive,2.2822,0.5,13.4,1.0,0.04x,1.1
14336x4096,8,nibblegemm v1 coalesced,0.8931,0.2,34.2,2.5,0.11x,2.8
14336x4096,8,nibblegemm v2 fast-dequant,0.224,0.2,136.5,9.9,0.43x,11.0
14336x4096,8,nibblegemm v3 vec4+regblock,0.8252,0.1,37.0,2.7,0.12x,3.0
14336x4096,8,nibblegemm v4 split-K,0.0522,1.2,585.8,42.5,1.83x,47.2
8192x8192,1,torch fp16 (cuBLAS),0.1049,0.9,1280.0,92.9,1.00x,
8192x8192,1,dequant + cuBLAS,0.2482,1.8,139.6,10.1,0.42x,10.9
8192x8192,1,triton w4a16,0.1661,4.5,208.5,15.1,0.63x,16.3
8192x8192,1,nibblegemm v0 naive,1.038,1.5,33.4,2.4,0.10x,2.6
8192x8192,1,nibblegemm v1 coalesced,0.5948,0.3,58.2,4.2,0.18x,4.5
8192x8192,1,nibblegemm v2 fast-dequant,0.1355,0.6,255.7,18.5,0.77x,20.0
8192x8192,1,nibblegemm v3 vec4+regblock,0.2513,0.3,137.8,10.0,0.42x,10.8
8192x8192,1,nibblegemm v4 split-K,0.0359,1.7,966.0,70.1,2.93x,75.5
8192x8192,2,torch fp16 (cuBLAS),0.1048,0.6,1280.9,92.9,1.00x,
8192x8192,2,dequant + cuBLAS,0.2484,2.6,139.5,10.1,0.42x,10.9
8192x8192,2,triton w4a16,0.1606,4.3,215.8,15.7,0.65x,16.8
8192x8192,2,nibblegemm v0 naive,1.02,1.5,34.0,2.5,0.10x,2.7
8192x8192,2,nibblegemm v1 coalesced,0.5709,0.3,60.7,4.4,0.18x,4.7
8192x8192,2,nibblegemm v2 fast-dequant,0.1328,0.5,261.0,18.9,0.79x,20.4
8192x8192,2,nibblegemm v3 vec4+regblock,0.4559,0.2,76.1,5.5,0.23x,5.9
8192x8192,2,nibblegemm v4 split-K,0.0388,0.7,892.4,64.7,2.70x,69.6
8192x8192,4,torch fp16 (cuBLAS),0.1051,0.9,1278.8,92.8,1.00x,
8192x8192,4,dequant + cuBLAS,0.2481,2.0,140.0,10.2,0.42x,10.9
8192x8192,4,triton w4a16,0.1608,4.7,216.0,15.7,0.65x,16.9
8192x8192,4,nibblegemm v0 naive,1.3371,0.9,26.0,1.9,0.08x,2.0
8192x8192,4,nibblegemm v1 coalesced,0.5684,0.4,61.1,4.4,0.18x,4.8
8192x8192,4,nibblegemm v2 fast-dequant,0.1341,0.5,259.1,18.8,0.78x,20.2
8192x8192,4,nibblegemm v3 vec4+regblock,0.2811,0.3,123.6,9.0,0.37x,9.6
8192x8192,4,nibblegemm v4 split-K,0.0402,1.3,863.2,62.6,2.61x,67.4
8192x8192,8,torch fp16 (cuBLAS),0.1053,0.8,1277.0,92.6,1.00x,
8192x8192,8,dequant + cuBLAS,0.2482,2.1,140.5,10.2,0.42x,10.9
8192x8192,8,triton w4a16,0.1611,4.1,216.4,15.7,0.65x,16.9
8192x8192,8,nibblegemm v0 naive,1.9903,0.6,17.5,1.3,0.05x,1.4
8192x8192,8,nibblegemm v1 coalesced,0.5936,0.4,58.7,4.3,0.18x,4.6
8192x8192,8,nibblegemm v2 fast-dequant,0.144,0.4,242.1,17.6,0.73x,18.9
8192x8192,8,nibblegemm v3 vec4+regblock,0.4834,0.2,72.1,5.2,0.22x,5.6
8192x8192,8,nibblegemm v4 split-K,0.0532,0.6,654.8,47.5,1.98x,51.0
