shape,M,impl,ms,TFLOP/s,%fp16,%A100 peak
4096x4096,128,torch fp16 (cuBLAS),0.0431,99.7,100%,32.0
4096x4096,128,nibblegemm v6 (wmma),0.1626,26.4,26%,8.5
4096x4096,128,nibblegemm v7 (mma.sync),0.1737,24.7,25%,7.9
4096x4096,128,dequant + cuBLAS,0.0813,52.8,53%,16.9
4096x4096,128,triton w4a16,0.0917,46.8,47%,15.0
4096x4096,512,torch fp16 (cuBLAS),0.0851,202.0,100%,64.7
4096x4096,512,nibblegemm v6 (wmma),0.1874,91.7,45%,29.4
4096x4096,512,nibblegemm v7 (mma.sync),0.2108,81.5,40%,26.1
4096x4096,512,dequant + cuBLAS,0.116,148.1,73%,47.5
4096x4096,512,triton w4a16,0.2113,81.3,40%,26.1
4096x4096,2048,torch fp16 (cuBLAS),0.2656,258.7,100%,82.9
4096x4096,2048,nibblegemm v6 (wmma),0.4838,142.0,55%,45.5
4096x4096,2048,nibblegemm v7 (mma.sync),0.5244,131.1,51%,42.0
4096x4096,2048,dequant + cuBLAS,0.2876,238.9,92%,76.6
4096x4096,2048,triton w4a16,0.6458,106.4,41%,34.1
4096x4096,4096,torch fp16 (cuBLAS),0.5413,253.9,100%,81.4
4096x4096,4096,nibblegemm v6 (wmma),0.9165,150.0,59%,48.1
4096x4096,4096,nibblegemm v7 (mma.sync),1.0104,136.0,54%,43.6
4096x4096,4096,dequant + cuBLAS,0.5399,254.6,100%,81.6
4096x4096,4096,triton w4a16,1.2312,111.6,44%,35.8
4096x14336,128,torch fp16 (cuBLAS),0.1212,124.0,100%,39.7
4096x14336,128,nibblegemm v6 (wmma),0.1862,80.7,65%,25.9
4096x14336,128,nibblegemm v7 (mma.sync),0.2098,71.7,58%,23.0
4096x14336,128,dequant + cuBLAS,0.2451,61.3,49%,19.7
4096x14336,128,triton w4a16,0.2112,71.2,57%,22.8
4096x14336,512,torch fp16 (cuBLAS),0.2608,230.6,100%,73.9
4096x14336,512,nibblegemm v6 (wmma),0.4795,125.4,54%,40.2
4096x14336,512,nibblegemm v7 (mma.sync),0.5204,115.5,50%,37.0
4096x14336,512,dequant + cuBLAS,0.3722,161.5,70%,51.8
4096x14336,512,triton w4a16,0.5756,104.5,45%,33.5
4096x14336,2048,torch fp16 (cuBLAS),1.0268,234.3,100%,75.1
4096x14336,2048,nibblegemm v6 (wmma),1.5627,153.9,66%,49.3
4096x14336,2048,nibblegemm v7 (mma.sync),1.7171,140.1,60%,44.9
4096x14336,2048,dequant + cuBLAS,1.0839,221.9,95%,71.1
4096x14336,2048,triton w4a16,2.1296,112.9,48%,36.2
4096x14336,4096,torch fp16 (cuBLAS),2.0002,240.5,100%,77.1
4096x14336,4096,nibblegemm v6 (wmma),3.1267,153.9,64%,49.3
4096x14336,4096,nibblegemm v7 (mma.sync),3.4198,140.7,58%,45.1
4096x14336,4096,dequant + cuBLAS,2.014,238.9,99%,76.6
4096x14336,4096,triton w4a16,4.2049,114.4,48%,36.7
